name,stat,value,value_normalized
Tentacruel,hp,80,"31,1"
Geodude,hp,40,"15,35"
Graveler,hp,55,"21,26"
Golem,hp,80,"31,1"
Ponyta,hp,50,"19,29"
Rapidash,hp,65,"25,2"
Slowpoke,hp,90,"35,04"
Slowbro,hp,95,"37,01"
Magnemite,hp,25,"9,45"
Magneton,hp,50,"19,29"
Farfetch'd,hp,52,"20,08"
Doduo,hp,35,"13,39"
Dodrio,hp,60,"23,23"
Seel,hp,65,"25,2"
Dewgong,hp,90,"35,04"
Grimer,hp,80,"31,1"
Muk,hp,105,"40,94"
Shellder,hp,30,"11,42"
Cloyster,hp,50,"19,29"
Gastly,hp,30,"11,42"
Haunter,hp,45,"17,32"
Gengar,hp,60,"23,23"
Onix,hp,35,"13,39"
Drowzee,hp,60,"23,23"
Hypno,hp,85,"33,07"
Krabby,hp,30,"11,42"
Kingler,hp,55,"21,26"
Voltorb,hp,40,"15,35"
Electrode,hp,60,"23,23"
Exeggcute,hp,60,"23,23"
Exeggutor,hp,95,"37,01"
Cubone,hp,50,"19,29"
Marowak,hp,60,"23,23"
Hitmonlee,hp,50,"19,29"
Hitmonchan,hp,50,"19,29"
Lickitung,hp,90,"35,04"
Koffing,hp,40,"15,35"
Weezing,hp,65,"25,2"
Rhyhorn,hp,80,"31,1"
Rhydon,hp,105,"40,94"
Chansey,hp,250,"98,03"
Tangela,hp,65,"25,2"
Kangaskhan,hp,105,"40,94"
Horsea,hp,30,"11,42"
Seadra,hp,55,"21,26"
Goldeen,hp,45,"17,32"
Seaking,hp,80,"31,1"
Staryu,hp,30,"11,42"
Starmie,hp,60,"23,23"
Mr. Mime,hp,40,"15,35"
Scyther,hp,70,"27,17"
Jynx,hp,65,"25,2"
Electabuzz,hp,65,"25,2"
Magmar,hp,65,"25,2"
Pinsir,hp,65,"25,2"
Tauros,hp,75,"29,13"
Magikarp,hp,20,"7,48"
Gyarados,hp,95,"37,01"
Lapras,hp,130,"50,79"
Ditto,hp,48,"18,5"
Eevee,hp,55,"21,26"
Vaporeon,hp,130,"50,79"
Jolteon,hp,65,"25,2"
Flareon,hp,65,"25,2"
Porygon,hp,65,"25,2"
Omanyte,hp,35,"13,39"
Omastar,hp,70,"27,17"
Kabuto,hp,30,"11,42"
Kabutops,hp,60,"23,23"
Aerodactyl,hp,80,"31,1"
Snorlax,hp,160,"62,6"
Articuno,hp,90,"35,04"
Zapdos,hp,90,"35,04"
Moltres,hp,90,"35,04"
Dratini,hp,41,"15,75"
Dragonair,hp,61,"23,62"
Dragonite,hp,91,"35,43"
Mewtwo,hp,106,"41,34"
Mew,hp,100,"38,98"
Chikorita,hp,45,"17,32"
Bayleef,hp,60,"23,23"
Meganium,hp,80,"31,1"
Cyndaquil,hp,39,"14,96"
Quilava,hp,58,"22,44"
Typhlosion,hp,78,"30,31"
Totodile,hp,50,"19,29"
Croconaw,hp,65,"25,2"
Feraligatr,hp,85,"33,07"
Sentret,hp,35,"13,39"
Furret,hp,85,"33,07"
Hoothoot,hp,60,"23,23"
Noctowl,hp,100,"38,98"
Ledyba,hp,40,"15,35"
Ledian,hp,55,"21,26"
Spinarak,hp,40,"15,35"
Ariados,hp,70,"27,17"
Crobat,hp,85,"33,07"
Chinchou,hp,75,"29,13"
Lanturn,hp,125,"48,82"
Pichu,hp,20,"7,48"
Cleffa,hp,50,"19,29"
Igglybuff,hp,90,"35,04"
Togepi,hp,35,"13,39"
Togetic,hp,55,"21,26"
Natu,hp,40,"15,35"
Xatu,hp,65,"25,2"
Mareep,hp,55,"21,26"
Flaaffy,hp,70,"27,17"
Ampharos,hp,90,"35,04"
Bellossom,hp,75,"29,13"
Marill,hp,70,"27,17"
Azumarill,hp,100,"38,98"
Sudowoodo,hp,70,"27,17"
Politoed,hp,90,"35,04"
Hoppip,hp,35,"13,39"
Skiploom,hp,55,"21,26"
Jumpluff,hp,75,"29,13"
Aipom,hp,55,"21,26"
Sunkern,hp,30,"11,42"
Sunflora,hp,75,"29,13"
Yanma,hp,65,"25,2"
Wooper,hp,55,"21,26"
Quagsire,hp,95,"37,01"
Espeon,hp,65,"25,2"
Umbreon,hp,95,"37,01"
Murkrow,hp,60,"23,23"
Slowking,hp,95,"37,01"
Misdreavus,hp,60,"23,23"
Unown,hp,48,"18,5"
Wobbuffet,hp,190,"74,41"
Girafarig,hp,70,"27,17"
Pineco,hp,50,"19,29"
Forretress,hp,75,"29,13"
Dunsparce,hp,100,"38,98"
Gligar,hp,65,"25,2"
Steelix,hp,75,"29,13"
Snubbull,hp,60,"23,23"
Granbull,hp,90,"35,04"
Qwilfish,hp,65,"25,2"
Scizor,hp,70,"27,17"
Shuckle,hp,20,"7,48"
Heracross,hp,80,"31,1"
Sneasel,hp,55,"21,26"
Teddiursa,hp,60,"23,23"
Ursaring,hp,90,"35,04"
Slugma,hp,40,"15,35"
Magcargo,hp,60,"23,23"
Swinub,hp,50,"19,29"
Piloswine,hp,100,"38,98"
Corsola,hp,65,"25,2"
Remoraid,hp,35,"13,39"
Octillery,hp,75,"29,13"
Delibird,hp,45,"17,32"
Mantine,hp,85,"33,07"
Skarmory,hp,65,"25,2"
Houndour,hp,45,"17,32"
Houndoom,hp,75,"29,13"
Kingdra,hp,75,"29,13"
Phanpy,hp,90,"35,04"
Donphan,hp,90,"35,04"
Porygon2,hp,85,"33,07"
Stantler,hp,73,"28,35"
Smeargle,hp,55,"21,26"
Tyrogue,hp,35,"13,39"
Hitmontop,hp,50,"19,29"
Smoochum,hp,45,"17,32"
Elekid,hp,45,"17,32"
Magby,hp,45,"17,32"
Miltank,hp,95,"37,01"
Blissey,hp,255,"100,0"
Raikou,hp,90,"35,04"
Entei,hp,115,"44,88"
Suicune,hp,100,"38,98"
Larvitar,hp,50,"19,29"
Pupitar,hp,70,"27,17"
Tyranitar,hp,100,"38,98"
Lugia,hp,106,"41,34"
Ho-Oh,hp,106,"41,34"
Celebi,hp,100,"38,98"
Treecko,hp,40,"15,35"
Grovyle,hp,50,"19,29"
Sceptile,hp,70,"27,17"
Torchic,hp,45,"17,32"
Combusken,hp,60,"23,23"
Blaziken,hp,80,"31,1"
Mudkip,hp,50,"19,29"
Marshtomp,hp,70,"27,17"
Swampert,hp,100,"38,98"
Poochyena,hp,35,"13,39"
Mightyena,hp,70,"27,17"
Zigzagoon,hp,38,"14,57"
Linoone,hp,78,"30,31"
Wurmple,hp,45,"17,32"
Silcoon,hp,50,"19,29"
Beautifly,hp,60,"23,23"
Cascoon,hp,50,"19,29"
Dustox,hp,60,"23,23"
Lotad,hp,40,"15,35"
Lombre,hp,60,"23,23"
Ludicolo,hp,80,"31,1"
Seedot,hp,40,"15,35"
Nuzleaf,hp,70,"27,17"
Shiftry,hp,90,"35,04"
Taillow,hp,40,"15,35"
Swellow,hp,60,"23,23"
Wingull,hp,40,"15,35"
Pelipper,hp,60,"23,23"
Ralts,hp,28,"10,63"
Kirlia,hp,38,"14,57"
Gardevoir,hp,68,"26,38"
Surskit,hp,40,"15,35"
Masquerain,hp,70,"27,17"
Shroomish,hp,60,"23,23"
Breloom,hp,60,"23,23"
Slakoth,hp,60,"23,23"
Vigoroth,hp,80,"31,1"
Slaking,hp,150,"58,66"
Nincada,hp,31,"11,81"
Ninjask,hp,61,"23,62"
Shedinja,hp,1,"0,0"
Whismur,hp,64,"24,8"
Loudred,hp,84,"32,68"
Exploud,hp,104,"40,55"
Makuhita,hp,72,"27,95"
Hariyama,hp,144,"56,3"
Azurill,hp,50,"19,29"
Nosepass,hp,30,"11,42"
Skitty,hp,50,"19,29"
Delcatty,hp,70,"27,17"
Sableye,hp,50,"19,29"
Mawile,hp,50,"19,29"
Aron,hp,50,"19,29"
Lairon,hp,60,"23,23"
Aggron,hp,70,"27,17"
Meditite,hp,30,"11,42"
Medicham,hp,60,"23,23"
Electrike,hp,40,"15,35"
Manectric,hp,70,"27,17"
Plusle,hp,60,"23,23"
Minun,hp,60,"23,23"
Volbeat,hp,65,"25,2"
Illumise,hp,65,"25,2"
Roselia,hp,50,"19,29"
Gulpin,hp,70,"27,17"
Swalot,hp,100,"38,98"
Carvanha,hp,45,"17,32"
Sharpedo,hp,70,"27,17"
Wailmer,hp,130,"50,79"
Wailord,hp,170,"66,54"
Numel,hp,60,"23,23"
Camerupt,hp,70,"27,17"
Torkoal,hp,70,"27,17"
Spoink,hp,60,"23,23"
Grumpig,hp,80,"31,1"
Spinda,hp,60,"23,23"
Trapinch,hp,45,"17,32"
Vibrava,hp,50,"19,29"
Flygon,hp,80,"31,1"
Cacnea,hp,50,"19,29"
Cacturne,hp,70,"27,17"
Swablu,hp,45,"17,32"
Altaria,hp,75,"29,13"
Zangoose,hp,73,"28,35"
Seviper,hp,73,"28,35"
Lunatone,hp,90,"35,04"
Solrock,hp,90,"35,04"
Barboach,hp,50,"19,29"
Whiscash,hp,110,"42,91"
Corphish,hp,43,"16,54"
Crawdaunt,hp,63,"24,41"
Baltoy,hp,40,"15,35"
Claydol,hp,60,"23,23"
Lileep,hp,66,"25,59"
Cradily,hp,86,"33,46"
Anorith,hp,45,"17,32"
Armaldo,hp,75,"29,13"
Feebas,hp,20,"7,48"
Milotic,hp,95,"37,01"
Castform,hp,70,"27,17"
Kecleon,hp,60,"23,23"
Shuppet,hp,44,"16,93"
Banette,hp,64,"24,8"
Duskull,hp,20,"7,48"
Dusclops,hp,40,"15,35"
Tropius,hp,99,"38,58"
Chimecho,hp,75,"29,13"
Absol,hp,65,"25,2"
Wynaut,hp,95,"37,01"
Snorunt,hp,50,"19,29"
Glalie,hp,80,"31,1"
Spheal,hp,70,"27,17"
Sealeo,hp,90,"35,04"
Walrein,hp,110,"42,91"
Clamperl,hp,35,"13,39"
Huntail,hp,55,"21,26"
Gorebyss,hp,55,"21,26"
Relicanth,hp,100,"38,98"
Luvdisc,hp,43,"16,54"
Bagon,hp,45,"17,32"
Shelgon,hp,65,"25,2"
Salamence,hp,95,"37,01"
Beldum,hp,40,"15,35"
Metang,hp,60,"23,23"
Metagross,hp,80,"31,1"
Regirock,hp,80,"31,1"
Regice,hp,80,"31,1"
Registeel,hp,80,"31,1"
Latias,hp,80,"31,1"
Latios,hp,80,"31,1"
Kyogre,hp,100,"38,98"
Groudon,hp,100,"38,98"
Rayquaza,hp,105,"40,94"
Jirachi,hp,100,"38,98"
Deoxys,hp,50,"19,29"
Turtwig,hp,55,"21,26"
Grotle,hp,75,"29,13"
Torterra,hp,95,"37,01"
Chimchar,hp,44,"16,93"
Monferno,hp,64,"24,8"
Infernape,hp,76,"29,53"
Piplup,hp,53,"20,47"
Prinplup,hp,64,"24,8"
Empoleon,hp,84,"32,68"
Starly,hp,40,"15,35"
Staravia,hp,55,"21,26"
Staraptor,hp,85,"33,07"
Bidoof,hp,59,"22,83"
Bibarel,hp,79,"30,71"
Kricketot,hp,37,"14,17"
Kricketune,hp,77,"29,92"
Shinx,hp,45,"17,32"
Luxio,hp,60,"23,23"
Luxray,hp,80,"31,1"
Budew,hp,40,"15,35"
Roserade,hp,60,"23,23"
Cranidos,hp,67,"25,98"
Rampardos,hp,97,"37,8"
Shieldon,hp,30,"11,42"
Bastiodon,hp,60,"23,23"
Burmy,hp,40,"15,35"
Wormadam,hp,60,"23,23"
Mothim,hp,70,"27,17"
Combee,hp,30,"11,42"
Vespiquen,hp,70,"27,17"
Pachirisu,hp,60,"23,23"
Buizel,hp,55,"21,26"
Floatzel,hp,85,"33,07"
Cherubi,hp,45,"17,32"
Cherrim,hp,70,"27,17"
Shellos,hp,76,"29,53"
Gastrodon,hp,111,"43,31"
Ambipom,hp,75,"29,13"
Drifloon,hp,90,"35,04"
Drifblim,hp,150,"58,66"
Buneary,hp,55,"21,26"
Lopunny,hp,65,"25,2"
Mismagius,hp,60,"23,23"
Honchkrow,hp,100,"38,98"
Glameow,hp,49,"18,9"
Purugly,hp,71,"27,56"
Chingling,hp,45,"17,32"
Stunky,hp,63,"24,41"
Skuntank,hp,103,"40,16"
Bronzor,hp,57,"22,05"
Bronzong,hp,67,"25,98"
Bonsly,hp,50,"19,29"
Mime Jr.,hp,20,"7,48"
Happiny,hp,100,"38,98"
Chatot,hp,76,"29,53"
Spiritomb,hp,50,"19,29"
Gible,hp,58,"22,44"
Gabite,hp,68,"26,38"
Garchomp,hp,108,"42,13"
Munchlax,hp,135,"52,76"
Riolu,hp,40,"15,35"
Lucario,hp,70,"27,17"
Hippopotas,hp,68,"26,38"
Hippowdon,hp,108,"42,13"
Skorupi,hp,40,"15,35"
Drapion,hp,70,"27,17"
Croagunk,hp,48,"18,5"
Toxicroak,hp,83,"32,28"
Carnivine,hp,74,"28,74"
Finneon,hp,49,"18,9"
Lumineon,hp,69,"26,77"
Mantyke,hp,45,"17,32"
Snover,hp,60,"23,23"
Abomasnow,hp,90,"35,04"
Weavile,hp,70,"27,17"
Magnezone,hp,70,"27,17"
Lickilicky,hp,110,"42,91"
Rhyperior,hp,115,"44,88"
Tangrowth,hp,100,"38,98"
Electivire,hp,75,"29,13"
Magmortar,hp,75,"29,13"
Togekiss,hp,85,"33,07"
Yanmega,hp,86,"33,46"
Leafeon,hp,65,"25,2"
Glaceon,hp,65,"25,2"
Gliscor,hp,75,"29,13"
Mamoswine,hp,110,"42,91"
Porygon-Z,hp,85,"33,07"
Gallade,hp,68,"26,38"
Probopass,hp,60,"23,23"
Dusknoir,hp,45,"17,32"
Froslass,hp,70,"27,17"
Rotom,hp,50,"19,29"
Uxie,hp,75,"29,13"
Mesprit,hp,80,"31,1"
Azelf,hp,75,"29,13"
Dialga,hp,100,"38,98"
Palkia,hp,90,"35,04"
Heatran,hp,91,"35,43"
Regigigas,hp,110,"42,91"
Giratina,hp,150,"58,66"
Cresselia,hp,120,"46,85"
Phione,hp,80,"31,1"
Manaphy,hp,100,"38,98"
Darkrai,hp,70,"27,17"
Shaymin,hp,100,"38,98"
Arceus,hp,120,"46,85"
Victini,hp,100,"38,98"
Snivy,hp,45,"17,32"
Servine,hp,60,"23,23"
Serperior,hp,75,"29,13"
Tepig,hp,65,"25,2"
Pignite,hp,90,"35,04"
Emboar,hp,110,"42,91"
Oshawott,hp,55,"21,26"
Dewott,hp,75,"29,13"
Samurott,hp,95,"37,01"
Patrat,hp,45,"17,32"
Watchog,hp,60,"23,23"
Lillipup,hp,45,"17,32"
Herdier,hp,65,"25,2"
Stoutland,hp,85,"33,07"
Purrloin,hp,41,"15,75"
Liepard,hp,64,"24,8"
Pansage,hp,50,"19,29"
Simisage,hp,75,"29,13"
Pansear,hp,50,"19,29"
Simisear,hp,75,"29,13"
Panpour,hp,50,"19,29"
Simipour,hp,75,"29,13"
Munna,hp,76,"29,53"
Musharna,hp,116,"45,28"
Pidove,hp,50,"19,29"
Tranquill,hp,62,"24,02"
Unfezant,hp,80,"31,1"
Blitzle,hp,45,"17,32"
Zebstrika,hp,75,"29,13"
Roggenrola,hp,55,"21,26"
Boldore,hp,70,"27,17"
Gigalith,hp,85,"33,07"
Woobat,hp,65,"25,2"
Swoobat,hp,67,"25,98"
Drilbur,hp,60,"23,23"
Excadrill,hp,110,"42,91"
Audino,hp,103,"40,16"
Timburr,hp,75,"29,13"
Gurdurr,hp,85,"33,07"
Conkeldurr,hp,105,"40,94"
Tympole,hp,50,"19,29"
Palpitoad,hp,75,"29,13"
Seismitoad,hp,105,"40,94"
Throh,hp,120,"46,85"
Sawk,hp,75,"29,13"
Sewaddle,hp,45,"17,32"
Swadloon,hp,55,"21,26"
Leavanny,hp,75,"29,13"
Venipede,hp,30,"11,42"
Whirlipede,hp,40,"15,35"
Scolipede,hp,60,"23,23"
Cottonee,hp,40,"15,35"
Whimsicott,hp,60,"23,23"
Petilil,hp,45,"17,32"
Lilligant,hp,70,"27,17"
Basculin,hp,70,"27,17"
Sandile,hp,50,"19,29"
Krokorok,hp,60,"23,23"
Krookodile,hp,95,"37,01"
Darumaka,hp,70,"27,17"
Darmanitan,hp,105,"40,94"
Maractus,hp,75,"29,13"
Dwebble,hp,50,"19,29"
Crustle,hp,70,"27,17"
Scraggy,hp,50,"19,29"
Scrafty,hp,65,"25,2"
Sigilyph,hp,72,"27,95"
Yamask,hp,38,"14,57"
Cofagrigus,hp,58,"22,44"
Tirtouga,hp,54,"20,87"
Carracosta,hp,74,"28,74"
Archen,hp,55,"21,26"
Archeops,hp,75,"29,13"
Trubbish,hp,50,"19,29"
Garbodor,hp,80,"31,1"
Zorua,hp,40,"15,35"
Zoroark,hp,60,"23,23"
Minccino,hp,55,"21,26"
Cinccino,hp,75,"29,13"
Gothita,hp,45,"17,32"
Gothorita,hp,60,"23,23"
Gothitelle,hp,70,"27,17"
Solosis,hp,45,"17,32"
Duosion,hp,65,"25,2"
Reuniclus,hp,110,"42,91"
Ducklett,hp,62,"24,02"
Swanna,hp,75,"29,13"
Vanillite,hp,36,"13,78"
Vanillish,hp,51,"19,69"
Vanilluxe,hp,71,"27,56"
Deerling,hp,60,"23,23"
Sawsbuck,hp,80,"31,1"
Emolga,hp,55,"21,26"
Karrablast,hp,50,"19,29"
Escavalier,hp,70,"27,17"
Foongus,hp,69,"26,77"
Amoonguss,hp,114,"44,49"
Frillish,hp,55,"21,26"
Jellicent,hp,100,"38,98"
Alomomola,hp,165,"64,57"
Joltik,hp,50,"19,29"
Galvantula,hp,70,"27,17"
Ferroseed,hp,44,"16,93"
Ferrothorn,hp,74,"28,74"
Klink,hp,40,"15,35"
Klang,hp,60,"23,23"
Klinklang,hp,60,"23,23"
Tynamo,hp,35,"13,39"
Eelektrik,hp,65,"25,2"
Eelektross,hp,85,"33,07"
Elgyem,hp,55,"21,26"
Beheeyem,hp,75,"29,13"
Litwick,hp,50,"19,29"
Lampent,hp,60,"23,23"
Chandelure,hp,60,"23,23"
Axew,hp,46,"17,72"
Fraxure,hp,66,"25,59"
Haxorus,hp,76,"29,53"
Cubchoo,hp,55,"21,26"
Beartic,hp,95,"37,01"
Cryogonal,hp,80,"31,1"
Shelmet,hp,50,"19,29"
Accelgor,hp,80,"31,1"
Stunfisk,hp,109,"42,52"
Mienfoo,hp,45,"17,32"
Mienshao,hp,65,"25,2"
Druddigon,hp,77,"29,92"
Golett,hp,59,"22,83"
Golurk,hp,89,"34,65"
Pawniard,hp,45,"17,32"
Bisharp,hp,65,"25,2"
Bouffalant,hp,95,"37,01"
Rufflet,hp,70,"27,17"
Braviary,hp,100,"38,98"
Vullaby,hp,70,"27,17"
Mandibuzz,hp,110,"42,91"
Heatmor,hp,85,"33,07"
Durant,hp,58,"22,44"
Deino,hp,52,"20,08"
Zweilous,hp,72,"27,95"
Hydreigon,hp,92,"35,83"
Larvesta,hp,55,"21,26"
Volcarona,hp,85,"33,07"
Cobalion,hp,91,"35,43"
Terrakion,hp,91,"35,43"
Virizion,hp,91,"35,43"
Tornadus,hp,79,"30,71"
Thundurus,hp,79,"30,71"
Reshiram,hp,100,"38,98"
Zekrom,hp,100,"38,98"
Landorus,hp,89,"34,65"
Kyurem,hp,125,"48,82"
Keldeo,hp,91,"35,43"
Meloetta,hp,100,"38,98"
Genesect,hp,71,"27,56"
Chespin,hp,56,"21,65"
Quilladin,hp,61,"23,62"
Chesnaught,hp,88,"34,25"
Fennekin,hp,40,"15,35"
Braixen,hp,59,"22,83"
Delphox,hp,75,"29,13"
Froakie,hp,41,"15,75"
Frogadier,hp,54,"20,87"
Greninja,hp,72,"27,95"
Bunnelby,hp,38,"14,57"
Diggersby,hp,85,"33,07"
Fletchling,hp,45,"17,32"
Fletchinder,hp,62,"24,02"
Talonflame,hp,78,"30,31"
Scatterbug,hp,38,"14,57"
Spewpa,hp,45,"17,32"
Vivillon,hp,80,"31,1"
Litleo,hp,62,"24,02"
Pyroar,hp,86,"33,46"
Flabébé,hp,44,"16,93"
Floette,hp,74,"28,74"
Florges,hp,78,"30,31"
Skiddo,hp,66,"25,59"
Gogoat,hp,123,"48,03"
Pancham,hp,67,"25,98"
Pangoro,hp,95,"37,01"
Furfrou,hp,75,"29,13"
Espurr,hp,62,"24,02"
Meowstic,hp,74,"28,74"
Honedge,hp,45,"17,32"
Doublade,hp,59,"22,83"
Aegislash,hp,60,"23,23"
Spritzee,hp,78,"30,31"
Aromatisse,hp,101,"39,37"
Swirlix,hp,62,"24,02"
Slurpuff,hp,82,"31,89"
Inkay,hp,53,"20,47"
Malamar,hp,86,"33,46"
Binacle,hp,42,"16,14"
Barbaracle,hp,72,"27,95"
Skrelp,hp,50,"19,29"
Dragalge,hp,65,"25,2"
Clauncher,hp,50,"19,29"
Clawitzer,hp,71,"27,56"
Helioptile,hp,44,"16,93"
Heliolisk,hp,62,"24,02"
Tyrunt,hp,58,"22,44"
Tyrantrum,hp,82,"31,89"
Amaura,hp,77,"29,92"
Aurorus,hp,123,"48,03"
Sylveon,hp,95,"37,01"
Hawlucha,hp,78,"30,31"
Dedenne,hp,67,"25,98"
Carbink,hp,50,"19,29"
Goomy,hp,45,"17,32"
Sliggoo,hp,68,"26,38"
Goodra,hp,90,"35,04"
Klefki,hp,57,"22,05"
Phantump,hp,43,"16,54"
Trevenant,hp,85,"33,07"
Pumpkaboo,hp,59,"22,83"
Gourgeist,hp,85,"33,07"
Bergmite,hp,55,"21,26"
Avalugg,hp,95,"37,01"
Noibat,hp,40,"15,35"
Noivern,hp,85,"33,07"
Xerneas,hp,126,"49,21"
Yveltal,hp,126,"49,21"
Zygarde,hp,216,"84,65"
Diancie,hp,50,"19,29"
Hoopa,hp,80,"31,1"
Volcanion,hp,80,"31,1"
Rowlet,hp,68,"26,38"
Dartrix,hp,78,"30,31"
Decidueye,hp,78,"30,31"
Litten,hp,45,"17,32"
Torracat,hp,65,"25,2"
Incineroar,hp,95,"37,01"
Popplio,hp,50,"19,29"
Brionne,hp,60,"23,23"
Primarina,hp,80,"31,1"
Pikipek,hp,35,"13,39"
Trumbeak,hp,55,"21,26"
Toucannon,hp,80,"31,1"
Yungoos,hp,48,"18,5"
Gumshoos,hp,88,"34,25"
Grubbin,hp,47,"18,11"
Charjabug,hp,57,"22,05"
Vikavolt,hp,77,"29,92"
Crabrawler,hp,47,"18,11"
Crabominable,hp,97,"37,8"
Oricorio,hp,75,"29,13"
Cutiefly,hp,40,"15,35"
Ribombee,hp,60,"23,23"
Rockruff,hp,45,"17,32"
Lycanroc,hp,85,"33,07"
Wishiwashi,hp,45,"17,32"
Mareanie,hp,50,"19,29"
Toxapex,hp,50,"19,29"
Mudbray,hp,70,"27,17"
Mudsdale,hp,100,"38,98"
Dewpider,hp,38,"14,57"
Araquanid,hp,68,"26,38"
Fomantis,hp,40,"15,35"
Lurantis,hp,70,"27,17"
Morelull,hp,40,"15,35"
Shiinotic,hp,60,"23,23"
Salandit,hp,48,"18,5"
Salazzle,hp,68,"26,38"
Stufful,hp,70,"27,17"
Bewear,hp,120,"46,85"
Bounsweet,hp,42,"16,14"
Steenee,hp,52,"20,08"
Tsareena,hp,72,"27,95"
Comfey,hp,51,"19,69"
Oranguru,hp,90,"35,04"
Passimian,hp,100,"38,98"
Wimpod,hp,25,"9,45"
Golisopod,hp,75,"29,13"
Sandygast,hp,55,"21,26"
Palossand,hp,85,"33,07"
Pyukumuku,hp,55,"21,26"
Type: Null,hp,95,"37,01"
Silvally,hp,95,"37,01"
Minior,hp,60,"23,23"
Komala,hp,65,"25,2"
Turtonator,hp,60,"23,23"
Togedemaru,hp,65,"25,2"
Mimikyu,hp,55,"21,26"
Bruxish,hp,68,"26,38"
Drampa,hp,78,"30,31"
Dhelmise,hp,70,"27,17"
Jangmo-o,hp,45,"17,32"
Hakamo-o,hp,55,"21,26"
Kommo-o,hp,75,"29,13"
Tapu Koko,hp,70,"27,17"
Tapu Lele,hp,70,"27,17"
Tapu Bulu,hp,70,"27,17"
Tapu Fini,hp,70,"27,17"
Cosmog,hp,43,"16,54"
Cosmoem,hp,43,"16,54"
Solgaleo,hp,137,"53,54"
Lunala,hp,137,"53,54"
Nihilego,hp,109,"42,52"
Buzzwole,hp,107,"41,73"
Pheromosa,hp,71,"27,56"
Xurkitree,hp,83,"32,28"
Celesteela,hp,97,"37,8"
Kartana,hp,59,"22,83"
Guzzlord,hp,223,"87,4"
Necrozma,hp,97,"37,8"
Magearna,hp,80,"31,1"
Bulbasaur,attack,49,"24,44"
Ivysaur,attack,62,"31,67"
Venusaur,attack,100,"52,78"
Charmander,attack,52,"26,11"
Charmeleon,attack,64,"32,78"
Charizard,attack,104,"55,0"
Squirtle,attack,48,"23,89"
Wartortle,attack,63,"32,22"
Blastoise,attack,103,"54,44"
Caterpie,attack,30,"13,89"
Metapod,attack,20,"8,33"
Butterfree,attack,45,"22,22"
Weedle,attack,35,"16,67"
Kakuna,attack,25,"11,11"
Beedrill,attack,150,"80,56"
Pidgey,attack,45,"22,22"
Pidgeotto,attack,60,"30,56"
Pidgeot,attack,80,"41,67"
Rattata,attack,56,"28,33"
Raticate,attack,71,"36,67"
Spearow,attack,60,"30,56"
Fearow,attack,90,"47,22"
Ekans,attack,60,"30,56"
Arbok,attack,95,"50,0"
Pikachu,attack,55,"27,78"
Raichu,attack,85,"44,44"
Sandshrew,attack,75,"38,89"
Sandslash,attack,100,"52,78"
Nidoran♀,attack,47,"23,33"
Nidorina,attack,62,"31,67"
Nidoqueen,attack,92,"48,33"
Nidoran♂,attack,57,"28,89"
